id,indic_en,unit,geo,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
CFBE_AT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,AT,32.6,32.1,30.9,30.8,30.3,28.4,27.5,25.5,23.9,22.7 
CFBE_BE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,BE,7.9,7.4,6.1,5.7,5.2,3.8,3.4,2.7,2.3,1.9 
CFBE_BG,part des énergies renouvelables dans la consommation finale brute d'énergie,%,BG,19.0,16.0,14.3,14.1,12.2,10.5,9.2,9.6,9.4,9.5 
CFBE_CY,part des énergies renouvelables dans la consommation finale brute d'énergie,%,CY,8.1,6.8,6.0,6.0,5.6,5.1,4.0,3.3,3.1,3.1 
CFBE_CZ,part des énergies renouvelables dans la consommation finale brute d'énergie,%,CZ,12.4,11.4,9.5,9.5,8.5,7.6,7.4,6.4,6.0,5.9 
CFBE_DE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,DE,12.4,12.1,11.4,10.4,9.9,8.5,9.0,7.7,6.7,5.8 
CFBE_DK,part des énergies renouvelables dans la consommation finale brute d'énergie,%,DK,27.2,25.6,23.4,22.0,20.0,18.6,17.8,15.9,15.6,14.5 
CFBE_EE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EE,25.6,25.8,25.5,24.6,23.0,18.9,17.1,16.1,17.5,18.4 
CFBE_EL,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EL,15.0,13.4,10.9,9.8,8.5,8.0,8.2,7.2,7.0,6.9 
CFBE_ES,part des énergies renouvelables dans la consommation finale brute d'énergie,%,ES,15.4,14.3,13.2,13.8,13.0,10.8,9.7,9.2,8.4,8.3 
CFBE_EU28,part des énergies renouvelables dans la consommation finale brute d'énergie,%,EU28,15.0,14.3,12.9,12.5,11.9,10.5,10.0,9.2,8.7,8.3 
CFBE_FI,part des énergies renouvelables dans la consommation finale brute d'énergie,%,FI,36.8,34.5,32.9,32.5,31.5,31.4,29.6,30.0,28.8,29.2 
CFBE_FR,part des énergies renouvelables dans la consommation finale brute d'énergie,%,FR,14.2,13.6,11.2,12.8,12.3,11.2,10.3,9.5,9.6,9.4 
CFBE_HR,part des énergies renouvelables dans la consommation finale brute d'énergie,%,HR,18.0,16.8,15.4,14.3,13.1,12.1,12.1,12.8,12.8,13.2 
CFBE_HU,part des énergies renouvelables dans la consommation finale brute d'énergie,%,HU,9.8,9.5,9.1,8.6,8.0,6.5,5.9,5.1,4.5,4.4 
CFBE_IE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,IE,7.8,7.3,6.6,5.6,5.1,4.1,3.6,3.1,2.9,2.4 
CFBE_IT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,IT,16.7,15.4,12.1,10.5,9.1,7.3,6.4,6.4,5.8,5.6 
CFBE_LT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LT,23.0,21.7,20.2,19.8,20.0,18.0,16.7,17.0,17.0,17.2 
CFBE_LU,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LU,3.6 e,3.1,2.9,2.9,2.9,2.8,2.7,1.5,1.4,0.9 
CFBE_LV,part des énergies renouvelables dans la consommation finale brute d'énergie,%,LV,37.1,35.8,33.5,30.4,34.3,29.8,29.6,31.1,32.3,32.8 
CFBE_MT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,MT,3.8,2.7,1.4,1.0,0.2,0.2,0.2,0.2,0.2,0.1 
CFBE_NL,part des énergies renouvelables dans la consommation finale brute d'énergie,%,NL,4.5,4.5,4.3,3.7,4.1,3.4,3.1,2.6,2.3,1.9 
CFBE_NO,part des énergies renouvelables dans la consommation finale brute d'énergie,%,NO,65.5,65.9,64.7,61.2,64.8,61.8,60.2,60.3,59.8,58.1 
CFBE_PL,part des énergies renouvelables dans la consommation finale brute d'énergie,%,PL,11.3,10.9,10.3,9.2,8.7,7.7,6.9,6.9,6.9,6.9 
CFBE_PT,part des énergies renouvelables dans la consommation finale brute d'énergie,%,PT,25.7,25.0,24.7,24.2,24.4,23.0,21.9,20.8,19.5,19.2 
CFBE_RO,part des énergies renouvelables dans la consommation finale brute d'énergie,%,RO,23.9,22.8,21.4,23.4,22.7,20.5,18.3,17.1,17.6,17.0 
CFBE_SE,part des énergies renouvelables dans la consommation finale brute d'énergie,%,SE,52.1,51.1,48.9,47.2,48.2,45.2,44.1,42.6,40.5,38.7 
CFBE_SI,part des énergies renouvelables dans la consommation finale brute d'énergie,%,SI,21.5,20.2,19.4,19.3,19.0,15.0,15.6,15.6,16.0,16.1 
CFBE_SK,part des énergies renouvelables dans la consommation finale brute d'énergie,%,SK,9.8,10.4,10.3,9.0,9.3,7.7,7.6,6.3,5.9,5.7 
CFBE_UK,part des énergies renouvelables dans la consommation finale brute d'énergie,%,UK,5.1,4.2,3.8,3.3,3.0,2.4,1.8,1.6,1.4,1.2 
T_AT,part des énergies renouvelables dans les transport,%,AT,7.5,7.8,7.7,8.7,9.1,7.5,6.3,5.5,2.8,2.5 
T_BE,part des énergies renouvelables dans les transport,%,BE,4.3,4.4,4.0,4.2,3.4,1.3,1.3,0.2,0.2,0.2 
T_BG,part des énergies renouvelables dans les transport,%,BG,5.6,0.3,0.4,1.0,0.5,0.5,0.4,0.6,0.3,0.4 
T_CY,part des énergies renouvelables dans les transport,%,CY,1.1,0.0,0.0,2.0,2.0,1.9,0.0,0.0,0.0,0.0 
T_CZ,part des énergies renouvelables dans les transport,%,CZ,5.7,5.6,0.7,4.6,3.7,2.3,1.0,0.8,0.5,1.1 
T_DE,part des énergies renouvelables dans les transport,%,DE,6.3,6.9,5.9,6.0,5.5,6.0,7.4,6.4,3.7,1.9 
T_DK,part des énergies renouvelables dans les transport,%,DK,5.7,5.5,3.3,0.9,0.4,0.3,0.3,0.3,0.2,0.2 
T_EE,part des énergies renouvelables dans les transport,%,EE,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1 
T_EL,part des énergies renouvelables dans les transport,%,EL,1.1,1.0,0.7,1.9,1.1,1.0,1.2,0.7,0.0,0.0 
T_ES,part des énergies renouvelables dans les transport,%,ES,0.4,0.4,0.4,4.7,3.5,1.9,1.2,0.7,1.0,0.8 
T_EU28,part des énergies renouvelables dans les transport,%,EU28,5.4,5.1,3.4,4.8,4.3,3.5,2.8,2.1,1.4,1.0 
T_FI,part des énergies renouvelables dans les transport,%,FI,9.9,0.4,0.4,3.8,4.0,2.4,0.4,0.4,0.4,0.5 
T_FR,part des énergies renouvelables dans les transport,%,FR,7.2,7.1,0.5,6.1,6.2,5.8,3.6,2.0,1.7,1.1 
T_HR,part des énergies renouvelables dans les transport,%,HR,2.1,0.4,0.4,0.5,0.7,0.6,0.5,0.4,0.4,0.4 
T_HU,part des énergies renouvelables dans les transport,%,HU,5.3,4.6,5.0,4.7,4.2,4.0,1.0,0.6,0.4,0.4 
T_IE,part des énergies renouvelables dans les transport,%,IE,5.0,4.1,3.9,2.4,1.9,1.3,0.5,0.1,0.0,0.0 
T_IT,part des énergies renouvelables dans les transport,%,IT,5.0,5.8,4.7,4.6,3.7,2.3,0.8,0.9,0.8,1.0 
T_LT,part des énergies renouvelables dans les transport,%,LT,4.6,4.8,3.7,3.6,4.3,4.2,3.7,1.7,0.5,0.3 
T_LU,part des énergies renouvelables dans les transport,%,LU,3.9 e,2.2,2.1,2.0,2.1,2.1,2.1,0.1,0.1,0.1 
T_LV,part des énergies renouvelables dans les transport,%,LV,3.1,3.1,3.2,3.3,1.1,0.9,0.9,1.2,1.3,1.1 
T_MT,part des énergies renouvelables dans les transport,%,MT,3.3,3.1,1.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0 
T_NL,part des énergies renouvelables dans les transport,%,NL,5.0,5.0,4.6,3.1,4.3,2.7,2.9,0.5,0.2,0.2 
T_NO,part des énergies renouvelables dans les transport,%,NO,1.6,1.4,1.4,4.0,3.6,3.2,1.9,1.3,1.2,1.3 
T_PL,part des énergies renouvelables dans les transport,%,PL,6.0,6.1,6.5,6.3,5.1,3.6,1.2,1.2,1.0,0.7 
T_PT,part des énergies renouvelables dans les transport,%,PT,0.7,0.4,0.4,5.3,3.6,2.3,2.2,1.3,0.2,0.2 
T_RO,part des énergies renouvelables dans les transport,%,RO,4.6,4.0,2.1,3.2,3.5,2.7,1.8,0.8,1.0,0.9 
T_SE,part des énergies renouvelables dans les transport,%,SE,16.7,12.9,9.5,7.2,6.9,6.3,5.7,4.7,3.9,3.8 
T_SI,part des énergies renouvelables dans les transport,%,SI,3.4,2.9,2.1,2.8,2.0,1.5,1.1,0.6,0.3,0.4 
T_SK,part des énergies renouvelables dans les transport,%,SK,5.3,4.8,5.0,4.8,4.9,3.9,3.5,2.9,1.1,0.6 
T_UK,part des énergies renouvelables dans les transport,%,UK,4.4,3.7,2.7,3.1,2.7,2.1,1.0,0.6,0.3,0.2 
E_AT,part des energies renouvelables dans l'electricité,%,AT,68.1,66.5,66.0,65.7,67.8,65.2,64.6,62.4,62.4,61.9 
E_BE,part des energies renouvelables dans l'electricité,%,BE,12.3,11.3,9.1,7.1,6.2,4.6,3.6,3.1,2.4,1.7
E_BG,part des energies renouvelables dans l'electricité,%,BG,18.9,15.8,12.9,12.7,11.3,10.0,9.4,9.3,9.3,9.1 
E_CY,part des energies renouvelables dans l'electricité,%,CY,6.6,4.9,3.4,1.4,0.6,0.3,0.1,0.0,0.0,0.0 
E_CZ,part des energies renouvelables dans l'electricité,%,CZ,12.8,11.6,10.6,7.5,6.4,5.2,4.6,4.0,3.7,3.6 
E_DE,part des energies renouvelables dans l'electricité,%,DE,25.6,23.6,20.9,18.1,17.4,15.1,13.6,11.8,10.5,9.4 
E_DK,part des energies renouvelables dans l'electricité,%,DK,43.1,38.7,35.9,32.7,28.3,25.9,25.0,24.0,24.7,23.8 
E_EE,part des energies renouvelables dans l'electricité,%,EE,13.0,15.8,12.3,10.4,6.1,2.1,1.5,1.5,1.1,0.6 
E_EL,part des energies renouvelables dans l'electricité,%,EL,21.2,16.4,13.8,12.3,11.0,9.6,9.3,8.9,8.2,7.8 
E_ES,part des energies renouvelables dans l'electricité,%,ES,36.4,33.5,31.6,29.8,27.8,23.7,21.7,20.0,19.1,19.0 
E_EU28,part des energies renouvelables dans l'electricité,%,EU28,25.4,23.5,21.7,19.6,19.0,17.0,16.1,15.3,14.8,14.3 
E_FI,part des energies renouvelables dans l'electricité,%,FI,31.1,29.5,29.4,27.6,27.3,27.3,25.5,26.4,26.9,26.7 
E_FR,part des energies renouvelables dans l'electricité,%,FR,16.9,16.4,16.2,14.7,15.0,14.3,14.4,14.1,13.8,13.8 
E_HR,part des energies renouvelables dans l'electricité,%,HR,38.7,35.5,34.2,34.2,32.6,30.8,30.9,32.2,32.8,32.5 
E_HU,part des energies renouvelables dans l'electricité,%,HU,6.6,6.1,6.4,7.1,7.0,5.3,4.2,3.5,4.4,2.2 
E_IE,part des energies renouvelables dans l'electricité,%,IE,20.9,19.5,17.3,14.5,13.4,11.2,10.4,8.7,7.2,6.0 
E_IT,part des energies renouvelables dans l'electricité,%,IT,31.3,27.4,23.5,20.1,18.8,16.6,16.0,15.9,16.3,16.1 
E_LT,part des energies renouvelables dans l'electricité,%,LT,13.1,10.9,9.0,7.4,5.9,4.9,4.7,4.0,3.8,3.6 
E_LU,part des energies renouvelables dans l'electricité,%,LU,5.3,4.6,4.1,3.8,4.1,3.6,3.3,3.2,3.2,2.8 
E_LV,part des energies renouvelables dans l'electricité,%,LV,48.8,44.9,44.7,42.1,41.9,38.7,38.6,40.4,43.0,46.0 
E_MT,part des energies renouvelables dans l'electricité,%,MT,1.6,1.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0 
E_NL,part des energies renouvelables dans l'electricité,%,NL,10.1,10.5,9.8,9.7,9.1,7.5,6.0,6.6,6.3,4.4 
E_NO,part des energies renouvelables dans l'electricité,%,NO,105.5,104.4,105.5,97.8,104.7,99.6,98.5,100.2,96.8,97.3 
E_PL,part des energies renouvelables dans l'electricité,%,PL,10.7,10.7,8.2,6.6,5.8,4.4,3.5,3.0,2.7,2.1 
E_PT,part des energies renouvelables dans l'electricité,%,PT,49.2,47.6,45.9,40.7,37.6,34.1,32.3,29.3,27.7,27.5 
E_RO,part des energies renouvelables dans l'electricité,%,RO,37.5,33.6,31.1,30.4,30.9,28.1,28.1,28.1,28.8,28.4 
E_SE,part des energies renouvelables dans l'electricité,%,SE,61.8,60.0,59.9,56.0,58.3,53.6,53.2,51.8,50.9,51.2 
E_SI,part des energies renouvelables dans l'electricité,%,SI,32.8,31.4,30.8,32.1,33.8,30.0,27.7,28.2,28.7,29.3 
E_SK,part des energies renouvelables dans l'electricité,%,SK,20.8,20.1,19.3,17.8,17.8,16.7,15.7,15.1,13.5,12.4 
E_UK,part des energies renouvelables dans l'electricité,%,UK,13.9,10.8,8.8,7.4,6.7,5.5,4.8,4.5,4.1,3.5 
CC_AT,part des energies renouvelables dans le chauffage et le climatisation,%,AT,33.5,32.4,30.7,30.5,28.6,26.8,26.2,23.5,22.6,20.2 
CC_BE,part des energies renouvelables dans le chauffage et le climatisation,%,BE,8.1,7.7,6.3,6.1,6.2,5.0,4.5,3.7,3.4,2.8 
CC_BG,part des energies renouvelables dans le chauffage et le climatisation,%,BG,29.2,27.5,24.9,24.4,21.7,17.3,13.9,14.8,14.3,14.1 
CC_CY,part des energies renouvelables dans le chauffage et le climatisation,%,CY,21.7,20.7,19.2,18.2,16.3,14.5,13.1,10.4,10.0,9.3 
CC_CZ,part des energies renouvelables dans le chauffage et le climatisation,%,CZ,15.3,14.1,13.2,12.6,11.8,11.1,11.4,9.6,9.1,8.4 
CC_DE,part des energies renouvelables dans le chauffage et le climatisation,%,DE,10.6,10.4,10.4,9.7,9.2,7.4,8.3,6.9,6.8,6.3 
CC_DK,part des energies renouvelables dans le chauffage et le climatisation,%,DK,34.8,33.5,32.0,30.7,29.5,28.1,27.0,23.0,22.1,19.9 
CC_EE,part des energies renouvelables dans le chauffage et le climatisation,%,EE,43.1,43.1,44.1,43.3,41.8,35.5,32.7,30.7,32.2,33.2 
CC_EL,part des energies renouvelables dans le chauffage et le climatisation,%,EL,26.5,23.4,19.4,17.8,16.4,14.3,14.4,12.5,12.8,12.8 
CC_ES,part des energies renouvelables dans le chauffage et le climatisation,%,ES,14.9,14.1,13.6,12.6,13.3,11.7,11.3,11.4,9.4,9.5 
CC_EU28,part des energies renouvelables dans le chauffage et le climatisation,%,EU28,16.5,16.1,15.0,14.1,13.7,12.0,11.9,10.9,10.3,9.9 
CC_FI,part des energies renouvelables dans le chauffage et le climatisation,%,FI,50.9,48.4,46.2,44.4,43.5,43.4,41.6,41.4,39.2,39.5 
CC_FR,part des energies renouvelables dans le chauffage et le climatisation,%,FR,18.3,17.3,16.3,16.4,15.2,13.4,12.9,12.1,12.4,12.3 
CC_HR,part des energies renouvelables dans le chauffage et le climatisation,%,HR,18.1,18.3,15.6,13.0,11.6,10.4,10.5,11.4,10.8,11.7 
CC_HU,part des energies renouvelables dans le chauffage et le climatisation,%,HU,13.5,13.4,12.3,11.0,10.5,8.3,8.9,7.5,6.0,6.5 
CC_IE,part des energies renouvelables dans le chauffage et le climatisation,%,IE,5.7,5.4,5.1,4.5,4.3,3.6,3.9,3.6,3.5,2.9 
CC_IT,part des energies renouvelables dans le chauffage et le climatisation,%,IT,18.0,16.9,12.2,10.4,8.7,6.4,5.9,5.8,4.6,4.3 
CC_LT,part des energies renouvelables dans le chauffage et le climatisation,%,LT,37.7,35.5,33.7,33.2,34.4,32.8,29.8,29.7,30.1,30.4 
CC_LU,part des energies renouvelables dans le chauffage et le climatisation,%,LU,5.6,5.0,4.8,4.8,4.7,4.6,4.4,3.6,3.6,1.8 
CC_LV,part des energies renouvelables dans le chauffage et le climatisation,%,LV,49.7,47.4,44.8,40.7,47.9,42.9,42.4,42.6,42.7,42.5 
CC_MT,part des energies renouvelables dans le chauffage et le climatisation,%,MT,23.7,16.7,8.1,8.4,1.8,3.6,3.2,2.6,2.2,1.1 
CC_NL,part des energies renouvelables dans le chauffage et le climatisation,%,NL,3.6,3.4,3.2,2.7,3.0,2.6,2.5,2.4,2.1,1.9 
CC_NO,part des energies renouvelables dans le chauffage et le climatisation,%,NO,31.8,33.8,34.2,32.6,32.1,31.1,29.5,28.6,29.0,25.7 
CC_PL,part des energies renouvelables dans le chauffage et le climatisation,%,PL,13.9,13.3,13.0,11.7,11.6,10.9,10.4,10.2,10.1,10.2 
CC_PT,part des energies renouvelables dans le chauffage et le climatisation,%,PT,34.5,34.0,35.2,33.9,38.0,37.5,35.0,34.2,32.1,32.5 
CC_RO,part des energies renouvelables dans le chauffage et le climatisation,%,RO,26.2,25.7,24.3,27.2,26.4,23.2,19.4,17.6,18.0,17.6 
CC_SE,part des energies renouvelables dans le chauffage et le climatisation,%,SE,67.2,65.7,62.5,60.9,63.5,60.9,58.6,56.2,51.8,46.6 
CC_SI,part des energies renouvelables dans le chauffage et le climatisation,%,SI,31.7,30.2,28.4,25.7,25.0,19.2,20.4,18.6,18.9,18.4 
CC_SK,part des energies renouvelables dans le chauffage et le climatisation,%,SK,7.5,8.7,9.1,7.8,8.1,6.1,6.2,4.4,5.0,5.0 
CC_UK,part des energies renouvelables dans le chauffage et le climatisation,%,UK,2.6,2.3,2.2,1.8,1.6,1.3,1.1,0.9,0.8,0.8 
